City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Lhokseumawe,ID,76.59,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
262,Yabassi,CM,87.44,broken clouds,4.457,9.9682,MOTEL FOMI
265,Pampierstad,ZA,81.93,overcast clouds,-27.7832,24.6877,BAROLONG METHODIST CHURCH
266,Padre Paraiso,BR,79.5,overcast clouds,-17.0742,-41.4844,Pousada Três Irmãos
276,Casimiro Castillo,MX,76.46,broken clouds,19.6,-104.4333,Hotel San José
279,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
280,Santa Isabel Do Rio Negro,BR,83.62,overcast clouds,-0.4139,-65.0192,Hotel GSA
283,Faanui,PF,80.35,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
284,Olinda,BR,85.73,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
286,Bengkulu,ID,75.85,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
295,Talikota,IN,77.14,overcast clouds,16.4833,76.3167,Prabhugouda B Bantanur
296,Tres Arroyos,AR,78.22,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
301,Port Victoria,KE,75.27,overcast clouds,0.0939,33.9756,Homepark motel
302,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
305,Porto Nacional,BR,84.2,moderate rain,-10.7081,-48.4172,Vila Real Hotel
308,Trairi,BR,89.02,broken clouds,-3.2778,-39.2689,janelas do mar
309,Mareeba,AU,75.92,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
314,Katherine,AU,84.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
320,Caravelas,BR,84.27,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
322,Lorengau,PG,81.77,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
331,Manicore,BR,80.11,overcast clouds,-5.8092,-61.3003,Hotel Durval
334,Rivadavia,AR,75.67,broken clouds,-33.1905,-68.4608,Posada Del Fin Del Mundo
336,Meulaboh,ID,77.11,overcast clouds,4.1363,96.1285,Kost Pria
337,Cockburn Town,TC,80.06,clear sky,21.4612,-71.1419,Osprey Beach Hotel
339,Quatre Cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
340,Maceio,BR,89.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
341,Mahajanga,MG,84.22,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
344,Pocone,BR,85.55,overcast clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
351,Conde,BR,89.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
358,Sola,VU,81.39,light rain,-13.8833,167.55,Leumerus Bungalows
377,Cidreira,BR,75.7,clear sky,-30.1811,-50.2056,Hotel Castelo
379,Umm Lajj,SA,77.63,overcast clouds,25.0213,37.2685,Moon light Furnished Units
380,Inhambane,MZ,80.06,few clouds,-23.865,35.3833,Oceano
383,Todos Santos,MX,76.01,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
385,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
386,Bom Jesus,BR,83.37,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
388,Barra Do Garcas,BR,82.49,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
393,Svay Rieng,KH,75.54,overcast clouds,11.0879,105.7993,Apsara guesthouse
394,Manggar,ID,79.32,overcast clouds,-2.8833,108.2667,Guest Hotel
395,Douentza,ML,88.41,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
396,Bubaque,GW,81.61,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
397,Iguape,BR,80.71,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
398,Ambon,ID,82.06,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
399,Nueva Guinea,NI,79.95,broken clouds,11.6876,-84.4562,Posadita La Reyna
403,Padang,ID,77.45,overcast clouds,-0.9492,100.3543,Mercure Padang
