,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Tres Arroyos,AR,-38.3739,-60.2798,78.22,26,100,9.08,overcast clouds
297,Misratah,LY,32.3754,15.0925,59.88,55,76,15.73,broken clouds
298,Burhanpur,IN,21.3,76.2333,70.07,53,3,6.31,clear sky
299,Staryy Nadym,RU,65.6118,72.6842,-19.35,100,85,3.42,overcast clouds
300,Woodbury,US,42.3833,-96.0336,37.8,71,25,13.18,scattered clouds
301,Port Victoria,KE,0.0939,33.9756,75.27,67,89,5.32,overcast clouds
302,Grand Gaube,MU,-20.0064,57.6608,79.2,67,100,7.0,overcast clouds
303,Coquimbo,CL,-29.9533,-71.3436,67.73,63,20,12.66,few clouds
304,Berga,NO,60.392,5.328,43.23,87,75,9.22,broken clouds
305,Porto Nacional,BR,-10.7081,-48.4172,84.2,75,97,2.55,moderate rain
306,Klyuchi,RU,52.2667,79.1667,0.46,97,70,6.06,broken clouds
307,Rorvik,NO,64.8621,11.2373,37.51,87,75,9.22,broken clouds
308,Trairi,BR,-3.2778,-39.2689,89.02,51,55,16.42,broken clouds
309,Mareeba,AU,-17.0,145.4333,75.92,95,77,2.46,broken clouds
310,Gandajika,CD,-6.75,23.95,70.18,94,100,3.87,overcast clouds
311,Collie,AU,-33.3667,116.15,48.97,67,47,8.28,scattered clouds
312,Katsuura,JP,35.1333,140.3,56.19,66,10,12.91,clear sky
313,Saint Anthony,US,45.0205,-93.218,34.83,64,1,4.0,clear sky
314,Katherine,AU,-14.4667,132.2667,84.52,58,38,8.05,scattered clouds
315,Luderitz,NA,-26.6481,15.1594,67.08,70,0,17.22,clear sky
316,Baruun-Urt,MN,46.6806,113.2792,13.05,59,6,22.77,clear sky
317,Alihe,CN,50.5667,123.7167,3.18,67,83,2.21,broken clouds
318,Shubarkuduk,KZ,49.1447,56.4872,17.56,66,12,14.07,few clouds
319,Orlik,RU,52.5178,99.825,-2.65,81,91,3.98,overcast clouds
320,Caravelas,BR,-17.7125,-39.2481,84.27,62,69,11.34,broken clouds
321,Hammerfest,NO,70.6634,23.6821,31.73,100,90,5.75,snow
322,Lorengau,PG,-2.0226,147.2712,81.77,85,74,9.69,light rain
323,High Prairie,CA,55.4334,-116.4858,15.1,89,100,2.3,overcast clouds
324,Mizdah,LY,31.4451,12.9801,47.5,55,4,8.57,clear sky
325,Valleyview,CA,55.0667,-117.2859,14.04,85,100,3.44,overcast clouds
326,Parana,AR,-31.732,-60.5238,95.18,29,30,13.8,scattered clouds
327,Nyalikungu,TZ,-3.1833,33.7833,72.46,61,95,2.95,light rain
328,Verkhnyaya Sysert,RU,56.4372,60.75,10.2,65,55,9.82,broken clouds
329,Mbanza-Ngungu,CD,-5.25,14.8667,70.05,94,99,6.13,moderate rain
330,Ouegoa,NC,-20.35,164.4333,76.91,87,100,9.28,overcast clouds
331,Manicore,BR,-5.8092,-61.3003,80.11,89,99,4.61,overcast clouds
332,Sinjar,IQ,36.3209,41.8754,54.14,29,22,2.57,few clouds
333,Povoa De Varzim,PT,41.3834,-8.7636,62.24,93,40,2.3,fog
334,Rivadavia,AR,-33.1905,-68.4608,75.67,45,81,13.98,broken clouds
335,Chokurdakh,RU,70.6333,147.9167,-30.42,95,100,1.68,overcast clouds
336,Meulaboh,ID,4.1363,96.1285,77.11,90,94,4.85,overcast clouds
337,Cockburn Town,TC,21.4612,-71.1419,80.06,72,1,17.0,clear sky
338,Taoudenni,ML,22.6783,-3.9836,79.41,9,53,10.02,broken clouds
